"id","year","cntry","income","loginc","weights","Father_Edu","Mother_Edu","Sex","Birth_Area","Religion"
1,2011,"NPL",3861.27375056539,11.2520099201328,1025.41052246094,2,1,0,1,1
2,2011,"NPL",1252.12597209933,10.1215525568614,1345.56701660156,1,1,0,1,1
3,2011,"NPL",759.749432956554,9.61224334541769,1145.25036621094,1,1,0,1,4
4,2011,"NPL",929.938139330208,9.82407246065583,1406.56433105469,2,1,0,1,1
5,2011,"NPL",7674.76818905328,11.8846269429256,456.523651123047,4,4,1,1,1
6,2011,"NPL",1054.43325914275,9.93998207214483,1145.5048828125,2,2,0,1,1
7,2011,"NPL",2084.05894226544,10.6213273456864,436.725891113281,1,1,0,1,2
8,2011,"NPL",5382.87600322294,11.5345972083507,436.725860595703,3,1,0,1,1
9,2011,"NPL",1013.05372734299,9.80026555660351,1145.25048828125,1,1,1,1,4
10,2011,"NPL",10430.5459938883,12.2166114005453,1145.25036621094,1,1,1,1,5
11,2011,"NPL",2708.65239315757,10.8683689242909,1345.56677246094,1,2,0,1,1
12,2011,"NPL",4684.66220691311,11.4001992937784,1345.56677246094,1,1,0,1,1
13,2011,"NPL",2760.61431725459,10.8520068698799,621.49072265625,1,2,0,1,1
14,2011,"NPL",1864.53236333946,10.5210127949612,709.1865234375,1,1,0,1,2
15,2011,"NPL",17117.9283844117,12.721746497621,621.49072265625,1,1,0,1,2
16,2011,"NPL",4311.74407923233,11.3127168849385,456.523620605469,1,1,0,1,2
17,2011,"NPL",7467.56346581691,11.9040225210195,1345.56677246094,2,1,1,1,1
18,2011,"NPL",1756.49682445224,10.4623887995337,709.344055175781,1,1,0,1,1
19,2011,"NPL",10136.0364099129,12.2140845851478,621.49072265625,1,1,0,1,1
20,2011,"NPL",2894.15810235916,10.9140686617223,1608.75610351562,1,1,1,1,1
21,2011,"NPL",10249.8050538926,12.2166114005453,1145.25036621094,1,1,0,1,5
22,2011,"NPL",2085.61250890839,10.6360794671284,709.344055175781,1,1,0,1,1
23,2011,"NPL",19822.2613046576,12.8587232994328,709.1865234375,1,1,0,1,1
24,2011,"NPL",558.445906637286,9.3140944645971,1145.25048828125,1,1,0,1,4
25,2011,"NPL",122.20849104598,7.7970529104507,938.48974609375,1,1,0,1,1
26,2011,"NPL",703.585586212657,9.54751390818335,1145.25036621094,2,1,1,1,4
27,2011,"NPL",559.630392324312,9.19969808049618,981.033508300781,1,1,0,1,1
28,2011,"NPL",3645.16197844759,11.1536216616018,292.992340087891,1,1,1,1,1
29,2011,"NPL",1761.28374929158,10.385701166491,709.1865234375,1,1,1,1,1
30,2011,"NPL",1075.89770858846,9.9722350511342,1145.25048828125,1,1,0,1,4
31,2011,"NPL",2519.54529697512,10.8026406785512,1145.25048828125,1,1,1,1,4
32,2011,"NPL",7371.46897091057,11.8846269429256,456.523651123047,1,1,1,1,1
33,2011,"NPL",7467.56346581691,11.9040225210195,1345.56677246094,2,1,0,1,1
34,2011,"NPL",1517.34405482075,10.3039401188207,1406.25207519531,1,1,0,1,1
35,2011,"NPL",2258.98869822871,10.6965006375304,1345.56689453125,1,1,1,1,1
36,2011,"NPL",9377.39646678825,12.1226910365911,456.523651123047,1,1,1,1,1
37,2011,"NPL",387.860281742631,8.94959956974085,938.48974609375,2,1,0,1,1
38,2011,"NPL",2359.51872927258,10.7499687530168,436.725860595703,2,1,0,1,1
39,2011,"NPL",559.290505178531,9.3140944645971,1145.25048828125,1,1,1,1,4
40,2011,"NPL",863.981226703773,9.75372733981166,1406.25207519531,1,1,1,1,1
41,2011,"NPL",2642.94780995102,10.8084485251109,1145.25048828125,1,1,0,1,4
42,2011,"NPL",879.119059755753,9.77239492395993,1095.82849121094,1,1,0,1,2
43,2011,"NPL",3141.62385600662,11.0233020488548,456.523620605469,1,1,0,1,2
44,2011,"NPL",348.632917550636,8.82163181490655,1539.33215332031,1,1,1,1,2
45,2011,"NPL",1274.34416450155,10.0938060694086,1145.25036621094,1,1,1,1,4
46,2011,"NPL",1907.31162878905,10.5210622637764,1406.251953125,1,1,0,1,1
47,2011,"NPL",5749.93403754363,11.6482557977072,1406.56433105469,2,1,1,1,1
48,2011,"NPL",21137.2232587694,12.9501030364047,709.1865234375,1,1,0,1,2
49,2011,"NPL",2498.42874895775,10.8026406785512,1145.25048828125,1,1,0,1,4
50,2011,"NPL",6197.27516879907,11.7156207895939,709.344116210938,2,2,0,1,1
51,2011,"NPL",1275.64053354243,10.1077689664211,1345.56689453125,1,1,0,1,1
52,2011,"NPL",6895.27367640254,11.8314162441117,1406.56433105469,1,1,0,1,1
53,2011,"NPL",494.379224313546,9.19613444900727,1145.25048828125,2,1,0,1,4
54,2011,"NPL",2800.16500812028,10.9263880194685,456.523620605469,2,1,1,1,1
55,2011,"NPL",4815.70041332989,11.4709489142324,456.523620605469,2,1,0,1,1
56,2011,"NPL",2398.01999520078,10.7499687530168,436.725860595703,2,1,1,1,1
57,2011,"NPL",1740.40537288059,10.4259908435078,709.1865234375,1,1,0,1,1
58,2011,"NPL",5096.23776914517,11.5129254649702,1357.16491699219,2,2,1,1,1
59,2011,"NPL",646.700947261764,9.46320835451292,678.582458496094,1,1,1,1,1
60,2011,"NPL",1030.68733343905,9.93123869760176,709.1865234375,1,1,1,1,3
61,2011,"NPL",1899.02659707448,10.5132142220593,709.1865234375,1,1,0,1,1
62,2011,"NPL",708.912603972681,9.54751390818335,1145.25036621094,2,1,0,1,4
63,2011,"NPL",7476.44957678876,11.8314162441117,1406.56433105469,1,1,0,1,1
